Rank,Title,Director,Actors
501,Maze Runner: The Scorch Trials,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Giancarlo Esposito"
502,Carol,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler"
503,Imperium,Daniel Ragussis,"Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell"
504,Youth,Paolo Sorrentino,"Michael Caine, Harvey Keitel, Rachel Weisz, Jane Fonda"
505,Mr. Nobody,Jaco Van Dormael,"Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham"
506,City of Tiny Lights,Pete Travis,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo"
507,Savages,Oliver Stone,"Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively,Benicio Del Toro"
508,(500) Days of Summer,Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz"
509,Movie 43,Elizabeth Banks,"Emma Stone, Stephen Merchant, Richard Gere, Liev Schreiber"
510,Gravity,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen"
511,The Boy in the Striped Pyjamas,Mark Herman,"Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien"
512,Shooter,Antoine Fuqua,"Mark Wahlberg, Michael Peña, Rhona Mitra, Danny Glover"
513,The Happening,M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez"
514,Bone Tomahawk,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins"
515,Magic Mike XXL,Gregory Jacobs,"Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez"
516,Easy A,Will Gluck,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd"
517,Exodus: Gods and Kings,Ridley Scott,"Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver"
518,Chappie,Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman,Sigourney Weaver"
519,The Hobbit: The Desolation of Smaug,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott"
520,Half of a Yellow Sun,Biyi Bandele,"Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose,Joseph Mawle"
521,Anthropoid,Sean Ellis,"Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr."
522,The Counselor,Ridley Scott,"Michael Fassbender, Penélope Cruz, Cameron Diaz,Javier Bardem"
523,Viking,Andrey Kravchuk,"Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer"
524,Whiskey Tango Foxtrot,Glenn Ficarra,"Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina"
525,Trust,David Schwimmer,"Clive Owen, Catherine Keener, Liana Liberato,Jason Clarke"
526,Birth of the Dragon,George Nolfi,"Billy Magnussen, Terry Chen, Teresa Navarro,Vanessa Ross"
527,Elysium,Neill Blomkamp,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga"
528,The Green Inferno,Eli Roth,"Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton"
529,Godzilla,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe"
530,The Bourne Legacy,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn"
531,A Good Year,Ridley Scott,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard"
532,Friend Request,Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan"
533,Deja Vu,Tony Scott,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer"
534,Lucy,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked"
535,A Quiet Passion,Terence Davies,"Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine"
536,Need for Speed,Scott Waugh,"Aaron Paul, Dominic Cooper, Imogen Poots, Scott Mescudi"
537,Jack Reacher,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog"
538,The Do-Over,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn"
539,True Crimes,Alexandros Avranas,"Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen"
540,American Pastoral,Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert"
541,The Ghost Writer,Roman Polanski,"Ewan McGregor, Pierce Brosnan, Olivia Williams,Jon Bernthal"
542,Limitless,Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro"
543,Spectral,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini"
544,P.S. I Love You,Richard LaGravenese,"Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow"
545,Zipper,Mora Stephens,"Patrick Wilson, Lena Headey, Ray Winstone,Richard Dreyfuss"
546,Midnight Special,Jeff Nichols,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver"
547,Don't Think Twice,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,Chris Gethard"
548,Alice in Wonderland,Tim Burton,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway"
549,Chuck,Philippe Falardeau,"Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber"
550,"I, Daniel Blake",Ken Loach,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann"
551,The Break-Up,Peyton Reed,"Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams"
552,Loving,Jeff Nichols,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford"
553,Fantastic Four,Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell"
554,The Survivalist,Stephen Fingleton,"Mia Goth, Martin McCann, Barry Ward, Andrew Simpson"
555,Colonia,Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist,Richenda Carey"
556,The Boy Next Door,Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett"
557,The Gift,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman"
558,Dracula Untold,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson"
559,In the Heart of the Sea,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw"
560,Idiocracy,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews"
561,The Expendables,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
562,Evil Dead,Fede Alvarez,"Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci"
563,Sinister,Scott Derrickson,"Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson"
564,Wreck-It Ralph,Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman"
565,Snow White and the Huntsman,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin"
566,Pan,Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara"
567,Transformers: Dark of the Moon,Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel"
568,Juno,Jason Reitman,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman"
569,A Hologram for the King,Tom Tykwer,"Tom Hanks, Sarita Choudhury, Ben Whishaw,Alexander Black"
570,Money Monster,Jodie Foster,"George Clooney, Julia Roberts, Jack O'Connell,Dominic West"
571,The Other Woman,Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau"
572,Enchanted,Kevin Lima,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey"
573,The Intern,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo,Anders Holm"
574,Little Miss Sunshine,Jonathan Dayton,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin"
575,Bleed for This,Ben Younger,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds"
576,Clash of the Titans,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng"
577,The Finest Hours,Craig Gillespie,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana"
578,Tron,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner"
579,The Hunger Games: Catching Fire,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman"
580,All Good Things,Andrew Jarecki,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe"
581,Kickboxer: Vengeance,John Stockwell,"Dave Bautista, Alain Moussi, Gina Carano, Jean-Claude Van Damme"
582,The Last Airbender,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone,Dev Patel"
583,Sex Tape,Jake Kasdan,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper"
584,What to Expect When You're Expecting,Kirk Jones,"Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid"
585,Moneyball,Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman"
586,Ghost Rider,Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long"
587,Unbroken,Angelina Jolie,"Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund"
588,Immortals,Tarsem Singh,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff"
589,Sunshine,Danny Boyle,"Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh"
590,Brave,Mark Andrews,"Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters"
591,Män som hatar kvinnor,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Ewa Fröling,Lena Endre"
592,Adoration,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville"
593,The Drop,Michaël R. Roskam,"Tom Hardy, Noomi Rapace, James Gandolfini,Matthias Schoenaerts"
594,She's the Man,Andy Fickman,"Amanda Bynes, Laura Ramsey, Channing Tatum,Vinnie Jones"
595,Daddy's Home,Sean Anders,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church"
596,Let Me In,Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono"
597,Never Back Down,Jeff Wadlow,"Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet"
598,Grimsby,Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Rebel Wilson,Freddie Crowder"
599,Moon,Duncan Jones,"Sam Rockwell, Kevin Spacey, Dominique McElligott,Rosie Shaw"
600,Megamind,Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey"
601,Gangster Squad,Ruben Fleischer,"Sean Penn, Ryan Gosling, Emma Stone, Giovanni Ribisi"
602,Blood Father,Jean-François Richet,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks"
603,He's Just Not That Into You,Ken Kwapis,"Jennifer Aniston, Jennifer Connelly, Morgan Lily,Trenton Rogers"
604,Kung Fu Panda 3,Alessandro Carloni,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie"
605,The Rise of the Krays,Zackary Adler,"Matt Vael, Simon Cotton, Kevin Leslie, Olivia Moyles"
606,Handsome Devil,John Butler,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Moe Dunford"
607,Winter's Bone,Debra Granik,"Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone"
608,Horrible Bosses,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe"
609,Mommy,Xavier Dolan,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément,Patrick Huard"
610,Hellboy II: The Golden Army,Guillermo del Toro,"Ron Perlman, Selma Blair, Doug Jones, John Alexander"
611,Beautiful Creatures,Richard LaGravenese,"Alice Englert, Viola Davis, Emma Thompson,Alden Ehrenreich"
612,Toni Erdmann,Maren Ade,"Sandra Hüller, Peter Simonischek, Michael Wittenborn,Thomas Loibl"
613,The Lovely Bones,Peter Jackson,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon"
614,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,"Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker"
615,Don Jon,Joseph Gordon-Levitt,"Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore, Tony Danza"
616,Bastille Day,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly"
617,2307: Winter's Dream,Joey Curtis,"Paul Sidhu, Branden Coles, Arielle Holmes, Kelcey Watson"
618,Free State of Jones,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell"
619,Mr. Right,Paco Cabezas,"Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone"
620,The Secret Life of Walter Mitty,Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn"
621,Dope,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons,Kimberly Elise"
622,Underworld Awakening,Måns Mårlind,"Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea"
623,Antichrist,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm"
624,Friday the 13th,Marcus Nispel,"Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker"
625,Taken 3,Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen"
626,Total Recall,Len Wiseman,"Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale"
627,X-Men: The Last Stand,Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen"
628,The Escort,Will Slocombe,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell"
629,The Whole Truth,Courtney Hunt,"Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso"
630,Night at the Museum: Secret of the Tomb,Shawn Levy,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke"
631,Love & Other Drugs,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt"
632,The Interview,Evan Goldberg,"James Franco, Seth Rogen, Randall Park, Lizzy Caplan"
633,The Host,Bong Joon Ho,"Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae"
634,Megan Is Missing,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer"
635,WALL·E,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
636,Knocked Up,Judd Apatow,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann"
637,Source Code,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga,Jeffrey Wright"
638,Lawless,John Hillcoat,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke"
639,Unfriended,Levan Gabriadze,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig"
640,American Reunion,Jon Hurwitz,"Jason Biggs, Alyson Hannigan,Seann William Scott, Chris Klein"
641,The Pursuit of Happyness,Gabriele Muccino,"Will Smith, Thandie Newton, Jaden Smith, Brian Howe"
642,Relatos salvajes,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa, Rita Cortese"
643,The Ridiculous 6,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner"
644,Frantz,François Ozon,"Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber"
645,Viral,Henry Joost,"Sofia Black-D'Elia, Analeigh Tipton,Travis Tope, Michael Kelly"
646,Gran Torino,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her"
647,Burnt,John Wells,"Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio"
648,Tall Men,Jonathan Holbrook,"Dan Crisafulli, Kay Whitney, Richard Garcia, Pat Cashman"
649,Sleeping Beauty,Julia Leigh,"Emily Browning, Rachael Blake, Ewen Leslie, Bridgette Barrett"
650,Vampire Academy,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne"
651,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"Johnny Depp, Helena Bonham Carter, Alan Rickman,Timothy Spall"
652,Solace,Afonso Poyart,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell"
653,Insidious,James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye"
654,Popstar: Never Stop Never Stopping,Akiva Schaffer,"Andy Samberg, Jorma Taccone,Akiva Schaffer, Sarah Silverman"
655,The Levelling,Hope Dickson Leach,"Ellie Kendrick, David Troughton, Jack Holden,Joe Blakemore"
656,Public Enemies,Michael Mann,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke"
657,Boyhood,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke,Elijah Smith"
658,Teenage Mutant Ninja Turtles,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher"
659,Eastern Promises,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin"
660,The Daughter,Simon Stone,"Geoffrey Rush, Nicholas Hope, Sam Neill, Ewen Leslie"
661,Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Gary Cole, Danny McBride"
662,The First Time,Jon Kasdan,"Dylan O'Brien, Britt Robertson, Victoria Justice, James Frecheville"
663,Gone Baby Gone,Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan"
664,The Heat,Paul Feig,"Sandra Bullock, Michael McDonald, Melissa McCarthy,Demián Bichir"
665,L'avenir,Mia Hansen-Løve,"Isabelle Huppert, André Marcon, Roman Kolinka,Edith Scob"
666,Anna Karenina,Joe Wright,"Keira Knightley, Jude Law, Aaron Taylor-Johnson,Matthew Macfadyen"
667,Regression,Alejandro Amenábar,"Ethan Hawke, David Thewlis, Emma Watson,Dale Dickey"
668,Ted 2,Seth MacFarlane,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth"
669,Pain & Gain,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie,Tony Shalhoub"
670,Blood Diamond,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers"
671,Devil's Knot,Atom Egoyan,"Colin Firth, Reese Witherspoon, Alessandro Nivola,James Hamrick"
672,Child 44,Daniel Espinosa,"Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman"
673,The Hurt Locker,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty,Guy Pearce"
674,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard,Mark Strong"
675,War on Everyone,John Michael McDonagh,"Alexander Skarsgård, Michael Peña, Theo James, Tessa Thompson"
676,The Mist,Frank Darabont,"Thomas Jane, Marcia Gay Harden, Laurie Holden,Andre Braugher"
677,Escape Plan,Mikael Håfström,"Sylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent D'Onofrio"
678,"Love, Rosie",Christian Ditter,"Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone"
679,The DUFF,Ari Sandel,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney"
680,The Age of Shadows,Jee-woon Kim,"Byung-hun Lee, Yoo Gong, Kang-ho Song, Ji-min Han"
681,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson"
682,We Need to Talk About Kevin,Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell"
683,Love & Friendship,Whit Stillman,"Kate Beckinsale, Chloë Sevigny, Xavier Samuel,Emma Greenwell"
684,The Mortal Instruments: City of Bones,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan,Jemima West"
685,Seven Pounds,Gabriele Muccino,"Will Smith, Rosario Dawson, Woody Harrelson,Michael Ealy"
686,The King's Speech,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter,Derek Jacobi"
687,Hunger,Steve McQueen,"Stuart Graham, Laine Megaw, Brian Milligan, Liam McMahon"
688,Jumper,Doug Liman,"Hayden Christensen, Samuel L. Jackson, Jamie Bell,Rachel Bilson"
689,Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty"
690,Tinker Tailor Soldier Spy,Tomas Alfredson,"Gary Oldman, Colin Firth, Tom Hardy, Mark Strong"
691,Resident Evil: Retribution,Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer"
692,Dear Zindagi,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley"
693,Genius,Michael Grandage,"Colin Firth, Jude Law, Nicole Kidman, Laura Linney"
694,Pompeii,Paul W.S. Anderson,"Kit Harington, Emily Browning, Kiefer Sutherland, Adewale Akinnuoye-Agbaje"
695,Life of Pi,Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
696,Hachi: A Dog's Tale,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa,Sarah Roemer"
697,10 Years,Jamie Linden,"Channing Tatum, Rosario Dawson, Chris Pratt, Jenna Dewan Tatum"
698,I Origins,Mike Cahill,"Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling"
699,Live Free or Die Hard,Len Wiseman,"Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q"
700,The Matchbreaker,Caleb Vetter,"Wesley Elder, Christina Grimmie, Osric Chau, Olan Rogers"
701,Funny Games,Michael Haneke,"Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet"
702,Ted,Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale"
703,RED,Robert Schwentke,"Bruce Willis, Helen Mirren, Morgan Freeman,Mary-Louise Parker"
704,Australia,Baz Luhrmann,"Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo"
705,Faster,George Tillman Jr.,"Dwayne Johnson, Billy Bob Thornton, Maggie Grace, Mauricio Lopez"
706,The Neighbor,Marcus Dunstan,"Josh Stewart, Bill Engvall, Alex Essoe, Ronnie Gene Blevins"
707,The Adjustment Bureau,George Nolfi,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner"
708,The Hollars,John Krasinski,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick"
709,The Judge,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton"
710,Closed Circuit,John Crowley,"Eric Bana, Rebecca Hall, Jim Broadbent, Ciarán Hinds"
711,Transformers: Revenge of the Fallen,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
712,La tortue rouge,Michael Dudok de Wit,"Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers"
713,The Book of Life,Jorge R. Gutiérrez,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman"
714,Incendies,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel"
715,The Heartbreak Kid,Bobby Farrelly,"Ben Stiller, Michelle Monaghan,Malin Akerman, Jerry Stiller"
716,Happy Feet,George Miller,"Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams"
717,Entourage,Doug Ellin,"Adrian Grenier, Kevin Connolly, Jerry Ferrara, Kevin Dillon"
718,The Strangers,Bryan Bertino,"Scott Speedman, Liv Tyler, Gemma Ward, Alex Fisher"
719,Noah,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson"
720,Neighbors,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow"
721,Nymphomaniac: Vol. II,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Willem Dafoe, Jamie Bell"
722,Wild,Jean-Marc Vallée,"Reese Witherspoon, Laura Dern, Gaby Hoffmann,Michiel Huisman"
723,Grown Ups,Dennis Dugan,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock"
724,Blair Witch,Adam Wingard,"James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott"
725,The Karate Kid,Harald Zwart,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han"
726,Dark Shadows,Tim Burton,"Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter"
727,Friends with Benefits,Will Gluck,"Mila Kunis, Justin Timberlake, Patricia Clarkson, Jenna Elfman"
728,The Illusionist,Neil Burger,"Edward Norton, Jessica Biel, Paul Giamatti, Rufus Sewell"
729,The A-Team,Joe Carnahan,"Liam Neeson, Bradley Cooper, Sharlto Copley,Jessica Biel"
730,The Guest,Adam Wingard,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore"
731,The Internship,Shawn Levy,"Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi"
732,Paul,Greg Mottola,"Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard"
733,This Beautiful Fantastic,Simon Aboud,"Jessica Brown Findlay, Andrew Scott, Jeremy Irvine,Tom Wilkinson"
734,The Da Vinci Code,Ron Howard,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen"
735,Mr. Church,Bruce Beresford,"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel"
736,Hugo,Martin Scorsese,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley"
737,The Blackcoat's Daughter,Oz Perkins,"Emma Roberts, Kiernan Shipka, Lauren Holly, Lucy Boynton"
738,Body of Lies,Ridley Scott,"Leonardo DiCaprio, Russell Crowe, Mark Strong,Golshifteh Farahani"
739,Knight of Cups,Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman,Brian Dennehy"
740,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,"Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh"
741,The Boss,Ben Falcone,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson"
742,Hands of Stone,Jonathan Jakubowicz,"Edgar Ramírez, Usher Raymond, Robert De Niro, Rubén Blades"
743,El secreto de sus ojos,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago,Carla Quevedo"
744,True Grit,Ethan Coen,"Jeff Bridges, Matt Damon, Hailee Steinfeld,Josh Brolin"
745,We Are Your Friends,Max Joseph,"Zac Efron, Wes Bentley, Emily Ratajkowski, Jonny Weston"
746,A Million Ways to Die in the West,Seth MacFarlane,"Seth MacFarlane, Charlize Theron, Liam Neeson,Amanda Seyfried"
747,Only for One Night,Chris Stokes,"Brian White, Karrueche Tran, Angelique Pereira,Jessica Vanessa DeLeon"
748,Rules Don't Apply,Warren Beatty,"Lily Collins, Haley Bennett, Taissa Farmiga, Steve Tom"
749,Ouija: Origin of Evil,Mike Flanagan,"Elizabeth Reaser, Lulu Wilson, Annalise Basso,Henry Thomas"
750,Percy Jackson: Sea of Monsters,Thor Freudenthal,"Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion"
751,Fracture,Gregory Hoblit,"Anthony Hopkins, Ryan Gosling, David Strathairn,Rosamund Pike"
